,Area (SQFT),Unit Price ($ PSF),Floor,Remaining Tenure,Is Freehold,walk_distance,Condo_Apartment,Landed,East Region,North East Region,North Region,West Region,Resale,Sub Sale
60157,775.01,1778,22,98,0,493.0,1,0,0,0,0,0,0,0
60158,764.24,1778,16,98,0,595.0,1,0,0,0,0,0,0,0
60159,764.24,1625,2,98,0,486.0,1,0,0,0,0,0,0,0
60160,775.01,1681,7,98,0,493.0,1,0,0,0,0,0,0,0
60161,645.84,1703,14,98,0,674.0,1,0,0,0,0,0,0,0
60162,775.01,1644,12,98,0,493.0,1,0,0,0,0,0,0,0
60163,764.24,1710,8,98,0,493.0,1,0,0,0,0,0,0,0
60164,1054.87,1722,16,98,0,486.0,1,0,0,0,0,0,0,0
60165,1054.87,1630,10,98,0,674.0,1,0,0,0,0,0,0,0
60166,1194.8,1452,15,97,0,440.0,1,0,0,0,0,0,0,0
60167,1054.87,1644,10,98,0,541.0,1,0,0,0,0,0,0,0
60168,1054.87,1611,16,98,0,486.0,1,0,0,0,0,0,0,0
60169,764.24,1638,4,98,0,576.0,1,0,0,0,0,0,0,0
60170,645.84,1634,2,98,0,541.0,1,0,0,0,0,0,0,0
60171,1646.89,1669,6,98,0,592.0,1,0,0,0,0,0,0,0
60172,1420.85,1681,17,98,0,541.0,1,0,0,0,0,0,0,0
60173,645.84,1695,13,98,0,674.0,1,0,0,0,0,0,0,0
60174,1011.82,1660,5,98,0,541.0,1,0,0,0,0,0,0,0
60175,656.6,1774,15,0,1,782.0,1,0,0,0,0,0,0,0
60176,764.24,1717,9,98,0,493.0,1,0,0,0,0,0,0,0
60177,764.24,1651,6,98,0,486.0,1,0,0,0,0,0,0,0
60178,645.84,1742,19,98,0,674.0,1,0,0,0,0,0,0,0
60179,1011.82,1526,2,98,0,486.0,1,0,0,0,0,0,0,0
60180,645.84,1703,11,98,0,541.0,1,0,0,0,0,0,0,0
60181,645.84,1688,9,98,0,541.0,1,0,0,0,0,0,0,0
60182,1259.39,1657,15,98,0,674.0,1,0,0,0,0,0,0,0
60183,1054.87,1658,15,98,0,674.0,1,0,0,0,0,0,0,0
60184,710.42,1767,17,0,1,782.0,1,0,0,0,0,0,0,0
60185,656.6,1695,9,0,1,782.0,1,0,0,0,0,0,0,0
60186,764.24,1691,5,98,0,493.0,1,0,0,0,0,0,0,0
60187,904.18,1598,4,98,0,486.0,1,0,0,0,0,0,0,0
60188,645.84,1719,16,98,0,674.0,1,0,0,0,0,0,0,0
60189,764.24,1684,11,98,0,576.0,1,0,0,0,0,0,0,0
60190,527.44,1729,9,98,0,576.0,1,0,0,0,0,0,0,0
60191,1011.82,1649,3,98,0,541.0,1,0,0,0,0,0,0,0
60192,29143.53,1373,0,0,1,1352.0,0,1,0,0,0,0,1,0
60193,904.18,1653,7,98,0,486.0,1,0,0,0,0,0,0,0
60194,1011.82,1595,7,98,0,486.0,1,0,0,0,0,0,0,0
60195,1420.85,1653,12,98,0,541.0,1,0,0,0,0,0,0,0
60196,645.84,1664,6,98,0,541.0,1,0,0,0,0,0,0,0
60197,904.18,1768,18,98,0,576.0,1,0,0,0,0,0,0,0
60198,645.84,1649,4,98,0,541.0,1,0,0,0,0,0,0,0
60199,1011.82,1713,6,98,0,486.0,1,0,0,0,0,0,0,0
60200,764.24,1677,10,98,0,576.0,1,0,0,0,0,0,0,0
60201,904.18,1680,11,98,0,486.0,1,0,0,0,0,0,0,0
60202,904.18,1687,12,98,0,576.0,1,0,0,0,0,0,0,0
60203,527.44,1708,12,98,0,486.0,1,0,0,0,0,0,0,0
60204,1151.75,1667,20,98,0,576.0,1,0,0,0,0,0,0,0
60205,1011.82,1538,4,98,0,486.0,1,0,0,0,0,0,0,0
60206,1011.82,1645,5,98,0,674.0,1,0,0,0,0,0,0,0
60207,527.44,1663,5,98,0,493.0,1,0,0,0,0,0,0,0
60208,764.24,1658,7,98,0,576.0,1,0,0,0,0,0,0,0
60209,775.01,1619,1,98,0,493.0,1,0,0,0,0,0,0,0
60210,645.84,1711,15,98,0,674.0,1,0,0,0,0,0,0,0
60211,2098.98,1588,22,98,0,595.0,1,0,0,0,0,0,0,0
60212,1054.87,1571,10,98,0,486.0,1,0,0,0,0,0,0,0
60213,1151.75,1620,11,98,0,576.0,1,0,0,0,0,0,0,0
60214,527.44,1706,6,98,0,576.0,1,0,0,0,0,0,0,0
60215,764.24,1697,13,98,0,576.0,1,0,0,0,0,0,0,0
60216,645.84,1603,4,98,0,674.0,1,0,0,0,0,0,0,0
60217,775.01,1657,14,98,0,493.0,1,0,0,0,0,0,0,0
60218,602.78,1319,4,98,0,1207.0,1,0,0,1,0,0,0,0
60219,1011.82,1725,8,98,0,486.0,1,0,0,0,0,0,0,0
60220,904.18,1700,14,98,0,576.0,1,0,0,0,0,0,0,0
60221,775.01,1746,17,98,0,493.0,1,0,0,0,0,0,0,0
60222,775.01,1726,14,98,0,493.0,1,0,0,0,0,0,0,0
60223,656.6,1785,16,0,1,782.0,1,0,0,0,0,0,0,0
60224,656.6,1704,10,0,1,782.0,1,0,0,0,0,0,0,0
60225,645.84,1695,13,98,0,674.0,1,0,0,0,0,0,0,0
60226,1011.82,1665,1,98,0,674.0,1,0,0,0,0,0,0,0
60227,430.56,1619,6,0,1,782.0,1,0,0,0,0,0,0,0
60228,1054.87,1588,13,98,0,486.0,1,0,0,0,0,0,0,0
60229,775.01,1707,11,98,0,493.0,1,0,0,0,0,0,0,0
60230,527.44,1805,18,98,0,576.0,1,0,0,0,0,0,0,0
60231,430.56,1705,12,0,1,782.0,1,0,0,0,0,0,0,0
60232,645.84,1531,1,98,0,674.0,1,0,0,0,0,0,0,0
60233,775.01,1624,9,98,0,493.0,1,0,0,0,0,0,0,0
60234,645.84,1649,4,98,0,541.0,1,0,0,0,0,0,0,0
60235,527.44,1799,23,98,0,486.0,1,0,0,0,0,0,0,0
60236,645.84,1657,5,98,0,541.0,1,0,0,0,0,0,0,0
60237,764.24,1645,5,98,0,541.0,1,0,0,0,0,0,0,0
60238,688.9,1726,9,97,0,1228.0,1,0,0,0,0,0,0,0
60239,1011.82,1607,9,98,0,486.0,1,0,0,0,0,0,0,0
60240,710.42,1496,11,96,0,2883.0,1,0,0,0,0,1,0,0
60241,645.84,1664,9,98,0,674.0,1,0,0,0,0,0,0,0
60242,462.85,1642,7,0,1,782.0,1,0,0,0,0,0,0,0
60243,1011.82,1684,9,98,0,541.0,1,0,0,0,0,0,0,0
60244,710.42,1748,15,0,1,782.0,1,0,0,0,0,0,0,0
60245,904.18,1547,3,98,0,486.0,1,0,0,0,0,0,0,0
60246,775.01,1599,5,98,0,493.0,1,0,0,0,0,0,0,0
60247,904.18,1694,4,0,1,1724.0,1,0,1,0,0,0,0,0
60248,775.01,1668,5,98,0,493.0,1,0,0,0,0,0,0,0
60249,904.18,1673,10,98,0,486.0,1,0,0,0,0,0,0,0
60250,1259.39,1674,18,98,0,674.0,1,0,0,0,0,0,0,0
